OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND
"49090","11","0","12","012","2019","01","13","6","3","5","3","0","1","1","0","0","0","0",794062.28375099995,5835083.82313000038,13.34146404600,52.58608514400,"1"
"49091","11","0","03","003","2019","01","09","5","3","5","3","0","1","1","0","0","0","0",799130.40068399999,5832327.41516999900,13.41356274500,52.55861543800,"0"
"49093","11","0","12","012","2019","03","21","6","3","0","1","2","1","0","0","0","0","0",795437.61296800000,5833549.45426000003,13.36033778900,52.57158588300,"0"
"49096","11","0","06","006","2019","01","07","6","2","6","4","1","0","1","1","0","0","0",786714.37541300000,5817042.13688000012,13.21776595200,52.42825102600,"1"
"49097","11","0","07","007","2019","02","15","3","3","2","6","0","0","1","0","0","0","0",796074.33421200002,5822724.90493000019,13.36006929000,52.47420801700,"0"
"49100","11","0","05","005","2019","01","07","5","3","2","6","2","0","1","0","0","0","0",784856.26116899995,5826356.23598999903,13.19846499000,52.51273314500,"1"
"49101","11","0","05","005","2019","01","08","3","3","6","6","0","0","1","1","0","0","0",783505.65020399995,5826701.33908999898,13.17891020300,52.51653113700,"0"
"49105","11","0","02","002","2019","01","07","5","3","6","2","0","0","1","1","0","0","0",803480.58151299995,5827610.53615999967,13.47322956200,52.51393265200,"1"
"49106","11","0","05","005","2019","02","18","1","3","5","2","2","0","1","0","0","0","0",783514.27700400003,5826711.66638999898,13.17904579700,52.51661925000,"0"
"49109","11","0","07","007","2019","01","17","5","3","3","2","2","0","1","0","0","0","1",798180.81570799998,5818901.14843999967,13.38757660200,52.43878651700,"0"
"49111","11","0","07","007","2019","01","18","5","3","2","6","2","0","1","0","0","0","1",796480.97332300001,5822570.43474000040,13.36590139400,52.47260275800,"0"
"49114","11","0","04","004","2019","01","16","5","2","0","1","2","0","0","0","1","0","0",792740.70916199998,5823246.87342999969,13.31158748400,52.48068423500,"0"
"49115","11","0","04","004","2019","02","12","6","3","2","6","0","0","0","0","0","1","1",791170.58218300005,5829471.67903000023,13.29397813200,52.53732879000,"0"
"49118","11","0","01","001","2019","03","13","5","3","2","6","0","0","1","0","0","0","0",798627.79799200001,5827029.86847999971,13.40141086300,52.51140634300,"0"
"49121","11","0","04","004","2019","01","17","4","3","2","6","2","0","1","0","0","0","0",790546.84484200005,5825193.69754999969,13.28107131300,52.49930944000,"1"
"49124","11","0","01","001","2019","01","12","4","3","2","6","0","0","1","0","0","0","0",798077.28257799998,5827663.24223999958,13.39389024800,52.51738483700,"1"
"49125","11","0","03","003","2019","01","13","4","3","5","3","0","0","1","0","0","1","0",798248.22637599998,5834742.93372999970,13.40276047900,52.58075091800,"0"
"49128","11","0","12","012","2019","01","17","4","3","6","2","2","0","1","1","0","0","0",795752.58383999998,5832685.93847000040,13.36420185500,52.56367428200,"1"
"49131","11","0","09","009","2019","01","06","4","3","3","6","2","0","1","0","1","0","0",806114.30099999998,5821639.80599999987,13.50643648800,52.45894914100,"1"
"49132","11","0","01","001","2019","02","06","7","2","5","2","2","0","1","0","1","0","0",796187.74399999995,5830191.84499999974,13.36837791900,52.54108077700,"0"
"49135","11","0","09","009","2019","01","05","4","3","3","6","2","0","1","0","0","1","0",804140.46067700000,5819917.88375000097,13.47590735600,52.44461788100,"1"
"49136","11","0","01","001","2019","01","11","1","3","5","3","0","1","0","0","0","0","0",796921.45327900001,5827454.81539999973,13.37672054200,52.51614702800,"1"
"49140","11","0","02","002","2019","01","08","4","3","5","3","1","1","1","0","0","0","0",803093.67129199998,5827633.67788999900,13.46756652800,52.51435520200,"1"
"49141","11","0","12","012","2019","02","15","6","3","5","3","0","0","1","0","0","0","1",793511.99839099997,5835884.64919999987,13.33407460100,52.59356118600,"0"
"49144","11","0","03","003","2019","01","07","4","3","6","4","2","0","1","1","0","0","0",801393.31135500001,5831071.62605000101,13.44570236700,52.54611207400,"1"
"49147","11","0","04","004","2019","01","07","4","3","2","6","2","0","1","0","0","0","0",791735.85398500005,5829205.12490000017,13.30205484600,52.53463687600,"1"
"49150","11","0","06","006","2019","01","07","4","2","6","2","2","0","1","1","0","0","0",786504.33030999999,5816947.16751000099,13.21460376500,52.42750957300,"1"
"49151","11","0","06","006","2019","02","18","3","3","2","6","2","0","1","0","0","0","0",792194.00481099996,5819596.85995000042,13.30036430800,52.44825505800,"0"
"49154","11","0","06","006","2019","01","09","3","3","2","6","0","0","1","0","0","0","0",785340.96707699995,5815774.97030999977,13.19654030500,52.41760744000,"1"
"49155","11","0","07","007","2019","02","10","7","3","2","6","0","0","1","0","0","0","0",798056.26228499995,5819439.92530000024,13.38623021800,52.44368396800,"0"
"49158","11","0","01","001","2019","01","19","3","3","2","6","2","0","1","0","0","0","0",796409.89922599995,5826288.54248999897,13.36816521300,52.50597078300,"1"
"49160","11","0","02","002","2019","01","19","3","3","2","6","2","1","0","0","0","0","0",802102.72272500000,5827496.00547999982,13.45288308300,52.51367100300,"1"
"49163","11","0","07","007","2019","01","17","3","3","5","3","2","0","1","0","0","0","0",797466.30802100000,5817929.80561000109,13.37623205800,52.43046844200,"1"
"49164","11","0","10","010","2019","02","10","4","2","5","3","0","1","1","0","0","0","0",807954.86514799995,5828854.35910000000,13.54010741700,52.52257208900,"0"
"49166","11","0","04","004","2019","03","14","4","3","2","6","0","0","1","0","0","0","0",792130.17146700004,5823763.91193000041,13.30307594100,52.48564636900,"0"
"49169","11","0","03","003","2019","01","12","3","3","4","1","0","0","1","0","0","0","0",802930.30301899998,5833241.27658000030,13.47027887100,52.56470568500,"1"
"49172","11","0","07","007","2019","01","19","2","3","6","4","2","0","0","1","0","0","1",797814.00860099995,5822706.02118000016,13.38559005900,52.47309300300,"1"
"49173","11","0","06","006","2019","01","17","4","2","0","1","2","0","0","0","1","0","0",783909.65467600001,5815944.99670999963,13.17569494400,52.41987634900,"1"
"49178","11","0","07","007","2019","01","12","1","3","6","2","0","0","1","1","0","0","0",797698.78085600003,5818765.90163999982,13.38038577400,52.43783676300,"0"
"49179","11","0","04","004","2019","02","05","6","3","0","1","1","0","0","0","1","0","0",790960.13295300002,5824654.00581999961,13.28667098200,52.49425089100,"1"
"49182","11","0","02","002","2019","01","11","7","3","5","2","0","0","1","0","0","0","0",802180.84900000005,5827729.14499999955,13.45424257300,52.51571735500,"0"
"49183","11","0","01","001","2019","01","11","1","3","5","3","0","1","0","0","0","0","0",796921.54699399997,5827454.83043000102,13.37672193300,52.51614711100,"1"
"49186","11","0","12","012","2019","01","07","6","3","2","2","1","0","1","0","0","0","0",794572.78178099997,5833802.73154000007,13.34783882800,52.57432504100,"1"
"49188","11","0","09","009","2019","01","19","6","3","2","6","2","0","1","0","0","0","0",803146.02778000000,5820827.15686000045,13.46214613300,52.45331990800,"0"
"49189","11","0","07","007","2019","02","12","6","3","5","2","0","1","1","0","0","0","0",799228.14513500000,5816332.37691999972,13.40064012500,52.41518865200,"0"
"49192","11","0","03","003","2019","01","18","6","3","5","3","2","1","1","0","0","0","0",800139.29842999997,5832459.02574000042,13.42851943700,52.55923997900,"1"
"49194","11","0","03","003","2019","01","20","4","3","5","3","2","1","0","0","0","0","1",798015.55691699998,5833645.40766000003,13.39835030100,52.57104064700,"0"
"49196","11","0","07","007","2019","01","18","6","3","1","5","2","1","1","0","0","0","0",795657.40563499997,5823950.33636999968,13.35503537700,52.48541892700,"1"
"49199","11","0","06","006","2019","01","18","5","3","5","2","2","1","1","0","0","0","0",793138.18781200005,5820207.45944999903,13.31475350900,52.45322350400,"0"
"49200","11","0","04","004","2019","02","02","7","2","0","1","2","0","1","0","0","0","0",790824.17857900006,5826587.65309999976,13.28636298200,52.51165855300,"1"
"49202","11","0","01","001","2019","03","17","7","3","2","7","1","1","1","0","0","0","0",798880.65663400001,5828063.98593000043,13.40605465000,52.52053725300,"0"
"49205","11","0","10","010","2019","01","18","4","3","2","6","2","0","1","0","0","0","0",808464.09716600005,5832381.08808999974,13.55086289400,52.55389005400,"1"
